Minutes,Games,iteration,Average_Score,High_Score,Epsilon,,,,,,,Seconds (plus the mintues)
32,289,29401,58,225,0.070628401,,,,,,,58.06
33,290,29474,43,225,0.070555474,,,,,,,3.03
33,291,29583,64,225,0.070446583,,,,,,,10.35
33,292,29659,44,225,0.070370659,,,,,,,15.42
33,293,29762,59,225,0.070267762,,,,,,,22.19
33,294,29850,51,225,0.07017985,,,,,,,27.99
33,295,29987,80,225,0.070042987,,,,,,,37.07
33,296,30062,42,225,0.069968062,,,,,,,41.97
33,297,30152,52,225,0.069878152,,,,,,,47.9
33,298,30226,42,225,0.069804226,,,,,,,52.79
33,299,30301,42,225,0.069729301,,,,,,,57.68
34,300,30389,51,225,0.069641389,,,,,,,3.51
34,301,30493,61,225,0.069537493,,,,,,,10.51
34,302,30583,53,225,0.069447583,,,,,,,16.53
34,303,30672,51,225,0.069358672,,,,,,,22.42
34,304,30915,146,225,0.069115915,,,,,,,38.9
34,305,31042,75,225,0.068989042,,,,,,,47.38
35,306,31247,122,225,0.068784247,,,,,,,1.15
35,307,31332,49,225,0.068699332,,,,,,,6.79
35,308,31407,42,225,0.068624407,,,,,,,11.72
35,309,31794,231,231,0.068237794,,,,,,,37.6
35,310,31997,120,231,0.068034997,,,,,,,51.11
36,311,32177,106,231,0.067855177,,,,,,,3.14
36,312,32629,271,271,0.067403629,,,,,,,33.49
36,313,32817,111,271,0.067215817,,,,,,,46.03
36,314,32950,77,271,0.06708295,,,,,,,54.82
36,315,33024,42,271,0.067009024,,,,,,,59.69
37,316,33206,107,271,0.066827206,,,,,,,11.84
37,317,33307,59,271,0.066726307,,,,,,,18.57
37,318,33546,142,271,0.066487546,,,,,,,34.5
37,319,33775,135,271,0.066258775,,,,,,,49.71
37,320,33887,65,271,0.066146887,,,,,,,57.1
38,321,34070,109,271,0.06596407,,,,,,,9.37
38,322,34203,78,271,0.065831203,,,,,,,18.25
38,323,34542,204,271,0.065492542,,,,,,,41.11
38,324,34713,102,271,0.065321713,,,,,,,52.63
39,325,34913,119,271,0.065121913,,,,,,,6
39,326,35150,140,271,0.06488515,,,,,,,21.81
39,327,35298,87,271,0.064737298,,,,,,,31.63
39,328,35514,128,271,0.064521514,,,,,,,46.03
39,329,35619,61,271,0.064416619,,,,,,,53.36
40,330,35758,87,271,0.064277758,,,,,,,3.17
40,331,35832,42,271,0.064203832,,,,,,,8.12
40,332,35947,67,271,0.064088947,,,,,,,15.83
40,333,36036,52,271,0.064000036,,,,,,,21.75
40,334,36175,84,271,0.063861175,,,,,,,31.3
40,335,36343,104,271,0.063693343,,,,,,,43.07
40,336,36502,95,271,0.063534502,,,,,,,53.82
41,337,36606,62,271,0.063430606,,,,,,,0.89
41,338,36693,53,271,0.063343693,,,,,,,6.92
41,339,36766,43,271,0.063270766,,,,,,,11.92
41,340,36973,126,271,0.063063973,,,,,,,26.14
41,341,37158,113,271,0.062879158,,,,,,,38.92
41,342,37322,100,271,0.062715322,,,,,,,50.28
41,343,37419,57,271,0.062618419,,,,,,,56.82
42,344,37819,241,271,0.062218819,,,,,,,23.77
42,345,37908,52,271,0.062129908,,,,,,,29.77
42,346,38136,136,271,0.061902136,,,,,,,45.03
43,347,38567,265,271,0.061471567,,,,,,,14.67
43,348,38776,127,271,0.061262776,,,,,,,29.07
43,349,39000,132,271,0.061039,,,,,,,44
43,350,39149,89,271,0.060890149,,,,,,,54.04
44,351,39434,171,271,0.060605434,,,,,,,13.27
44,352,39507,42,271,0.060532507,,,,,,,18.2
44,353,39652,86,271,0.060387652,,,,,,,27.95
44,354,39792,83,271,0.060247792,,,,,,,37.4
44,355,39915,72,271,0.060124915,,,,,,,45.59
44,356,40005,52,271,0.060035005,,,,,,,51.61
45,357,40300,176,271,0.0597403,,,,,,,11.43
45,358,40476,105,271,0.059564476,,,,,,,23.3
45,359,40659,110,271,0.059381659,,,,,,,35.72
45,360,40810,90,271,0.05923081,,,,,,,45.94
45,361,40941,78,271,0.059099941,,,,,,,54.85
46,362,41138,120,271,0.058903138,,,,,,,8.34
46,363,41227,51,271,0.058814227,,,,,,,14.29
46,364,41348,72,271,0.058693348,,,,,,,22.48
46,365,41841,300,300,0.058200841,,,,,,,56.06
47,366,42049,123,300,0.057993049,,,,,,,9.98
47,367,42156,63,300,0.057886156,,,,,,,17.18
47,368,42397,146,300,0.057645397,,,,,,,33.63
47,369,42551,92,300,0.057491551,,,,,,,44.07
47,370,42675,75,300,0.057367675,,,,,,,52.55
47,371,42763,52,300,0.057279763,,,,,,,58.5
48,372,42874,64,300,0.057168874,,,,,,,5.88
48,373,43112,145,300,0.056931112,,,,,,,22.2
48,374,43228,69,300,0.056815228,,,,,,,30.05
48,375,43323,56,300,0.056720323,,,,,,,36.44
48,376,43575,154,300,0.056468575,,,,,,,53.74
48,377,43647,43,300,0.056396647,,,,,,,58.66
49,378,43782,80,300,0.056261782,,,,,,,7.83
49,379,43885,60,300,0.056158885,,,,,,,14.71
49,380,44088,120,300,0.055956088,,,,,,,28.32
49,381,44396,187,300,0.055648396,,,,,,,49.26
50,382,44917,317,317,0.055127917,,,,,,,24.69
50,383,45077,97,317,0.054968077,,,,,,,35.65
50,384,45301,132,317,0.054744301,,,,,,,50.52
51,385,45503,119,317,0.054542503,,,,,,,4.01
51,386,45631,75,317,0.054414631,,,,,,,12.53
51,387,45750,69,317,0.05429575,,,,,,,20.4
51,388,46074,191,317,0.053972074,,,,,,,41.84
51,389,46174,58,317,0.053872174,,,,,,,48.55
51,390,46275,58,317,0.053771275,,,,,,,55.18
52,391,46563,174,317,0.053483563,,,,,,,14.68
52,392,46681,68,317,0.053365681,,,,,,,22.52
52,393,46876,125,317,0.053170876,,,,,,,36.56
52,394,47020,85,317,0.05302702,,,,,,,46.23
52,395,47201,107,317,0.052846201,,,,,,,58.31
53,396,47315,69,317,0.052732315,,,,,,,6.12
53,397,47386,42,317,0.052661386,,,,,,,10.99
53,398,47544,96,317,0.052503544,,,,,,,21.94
53,399,47889,213,317,0.052158889,,,,,,,45.72
53,400,47960,43,317,0.05208796,,,,,,,50.67
53,401,48074,68,317,0.051974074,,,,,,,58.39
54,402,48215,85,317,0.051833215,,,,,,,8.06
54,403,48390,106,317,0.05165839,,,,,,,20.01
54,404,48535,87,317,0.051513535,,,,,,,29.84
55,405,49165,380,380,0.050884165,,,,,,,12.34
55,406,49278,69,380,0.050771278,,,,,,,20.16
55,407,49380,61,380,0.05066938,,,,,,,27.13
55,408,49517,82,380,0.050532517,,,,,,,36.38
55,409,49630,66,380,0.05041963,,,,,,,43.9
55,410,49765,79,380,0.050284765,,,,,,,52.95
56,411,49933,102,380,0.050116933,,,,,,,4.53
56,412,50006,43,380,0.050044006,,,,,,,9.46
